state,zone,survey_year,pct_anc_skilled_provider,pct_anc_4plus_visits,pct_tetanus_protected_neonatal,pct_facility_delivery,pct_caesarean_section,pct_skilled_birth_attendant,pct_postnatal_check_mother_2days,notes
NATIONAL,National,2024,63.0,52.0,60.6,43.0,6.0,46.0,43.0,National estimates; skilled attendant from Table 9.10; postnatal from Table 9.16
ZONE: North Central,North Central,2024,62.2,50.3,52.0,49.7,6.8,54.6,53.4,Zonal aggregate
ZONE: North East,North East,2024,60.7,50.6,64.7,37.2,3.0,32.3,36.3,Zonal aggregate
ZONE: North West,North West,2024,49.0,40.6,42.1,21.9,2.8,25.6,24.9,Zonal aggregate
ZONE: South East,South East,2024,88.5,73.6,86.3,86.7,8.5,88.1,63.1,Zonal aggregate
ZONE: South South,South South,2024,81.6,67.1,81.2,64.8,10.6,76.6,66.5,Zonal aggregate
ZONE: South West,South West,2024,87.6,80.8,82.7,82.5,13.9,84.9,78.5,Zonal aggregate
FCT-Abuja,North Central,2024,91.8,79.9,87.4,81.3,13.2,82.4,82.3,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Benue,North Central,2024,65.9,49.1,59.6,59.0,9.6,66.7,56.2,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Kogi,North Central,2024,62.6,54.1,51.9,62.2,7.6,61.1,55.8,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Kwara,North Central,2024,55.9,51.3,52.1,51.5,6.2,55.3,57.0,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Nasarawa,North Central,2024,84.4,66.0,67.7,55.7,7.9,69.2,68.4,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Niger,North Central,2024,40.4,34.7,34.2,30.2,1.3,33.7,32.6,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Plateau,North Central,2024,66.7,46.4,45.1,45.7,10.0,50.1,56.3,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Adamawa,North East,2024,34.7,56.4,70.0,41.6,3.3,,50.6,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Bauchi,North East,2024,57.2,46.6,57.6,31.1,4.0,,23.9,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Borno,North East,2024,69.0,61.1,78.7,45.9,0.7,,47.5,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Gombe,North East,2024,60.7,39.1,67.7,48.5,4.3,,44.9,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Taraba,North East,2024,66.3,50.5,54.8,33.0,3.8,,34.4,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Yobe,North East,2024,73.2,48.5,63.4,32.1,2.4,,33.9,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Jigawa,North West,2024,76.0,37.7,59.8,21.4,2.6,,43.9,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Kaduna,North West,2024,70.0,59.4,50.5,25.9,4.9,,22.5,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Kano,North West,2024,49.5,51.3,54.3,32.7,4.0,,32.8,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Katsina,North West,2024,49.2,37.2,36.4,15.8,0.4,,19.4,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Kebbi,North West,2024,12.0,14.0,11.1,8.8,0.4,,11.3,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Sokoto,North West,2024,26.4,22.7,26.7,12.5,2.0,,11.6,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Zamfara,North West,2024,24.8,21.5,20.0,15.3,2.0,,18.1,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Abia,South East,2024,93.9,79.1,88.9,86.0,7.5,,66.4,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Anambra,South East,2024,89.1,84.9,83.8,83.2,11.8,,73.2,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Ebonyi,South East,2024,80.1,61.7,82.8,79.4,4.0,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Enugu,South East,2024,89.7,61.9,85.8,92.6,8.3,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Imo,South East,2024,96.5,84.9,92.5,97.0,12.5,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Akwa Ibom,South South,2024,80.6,65.7,71.2,38.6,6.3,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Bayelsa,South South,2024,68.3,48.6,75.4,46.1,5.5,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Cross River,South South,2024,67.8,80.0,86.2,58.8,13.7,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Delta,South South,2024,86.2,60.5,81.5,83.0,14.7,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Edo,South South,2024,96.3,63.0,83.1,90.9,13.8,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Rivers,South South,2024,80.0,76.5,84.8,56.9,7.9,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Ekiti,South West,2024,89.9,,,,,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Lagos,South West,2024,92.9,,,,21.0,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Ogun,South West,2024,85.9,,,,,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Ondo,South West,2024,79.8,,,,,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Osun,South West,2024,93.1,,,,,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
Oyo,South West,2024,83.0,,,,,,,"Tables 9.1, 9.2, 9.7, 9.8, 9.9, 9.10, 9.16"
