state,zone,survey_year,pct_households_any_mosquito_net,pct_households_itn,pct_households_itn_per_two_persons,pct_children_u5_slept_under_itn,pct_existing_itns_used_last_night,notes
NATIONAL,National,2024,59.9,59.2,31.5,42.5,64.7,"Tables 12.1, 12.6"
ZONE: North Central,North Central,2024,54.7,54.2,31.2,37.6,63.6,Zonal aggregate
ZONE: North East,North East,2024,72.9,71.9,37.4,49.3,67.3,Zonal aggregate
ZONE: North West,North West,2024,82.0,81.1,36.7,52.2,74.7,Zonal aggregate
ZONE: South East,South East,2024,43.3,42.6,22.0,24.2,39.8,Zonal aggregate
ZONE: South South,South South,2024,49.7,48.6,33.6,30.7,45.3,Zonal aggregate
ZONE: South West,South West,2024,40.4,40.1,23.6,22.6,56.3,Zonal aggregate
FCT-Abuja,North Central,2024,40.4,40.3,19.4,36.6,69.7,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Benue,North Central,2024,82.7,82.3,60.2,58.5,58.6,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Kogi,North Central,2024,39.6,38.8,20.1,26.8,72.4,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Kwara,North Central,2024,36.9,36.9,16.4,12.5,46.7,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Nasarawa,North Central,2024,47.1,47.0,20.4,37.4,80.1,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Niger,North Central,2024,72.0,72.0,42.8,48.4,66.4,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Plateau,North Central,2024,40.0,37.5,19.9,22.8,55.0,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Adamawa,North East,2024,80.6,78.6,48.9,47.9,61.0,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Bauchi,North East,2024,77.3,76.4,44.8,50.5,64.3,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Borno,North East,2024,57.4,57.3,20.6,39.6,76.5,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Gombe,North East,2024,79.2,79.2,33.7,52.2,81.4,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Taraba,North East,2024,71.7,70.9,40.6,42.6,65.1,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Yobe,North East,2024,75.6,73.4,34.1,62.0,68.2,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Jigawa,North West,2024,87.8,86.7,38.9,55.2,83.4,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Kaduna,North West,2024,72.5,72.0,33.0,43.7,71.3,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Kano,North West,2024,88.4,87.1,46.5,67.5,85.9,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Katsina,North West,2024,75.8,75.8,28.3,45.7,74.9,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Kebbi,North West,2024,82.6,81.5,30.9,52.6,72.5,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Sokoto,North West,2024,82.1,78.5,32.2,19.3,23.5,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Zamfara,North West,2024,89.7,89.7,40.3,64.8,82.7,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Abia,South East,2024,26.8,25.4,13.3,20.0,69.8,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Anambra,South East,2024,57.0,56.8,35.2,37.0,34.2,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Ebonyi,South East,2024,74.7,74.4,32.9,31.6,43.0,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Enugu,South East,2024,18.2,17.0,6.5,13.5,40.1,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Imo,South East,2024,33.7,32.8,17.5,11.3,29.9,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Akwa Ibom,South South,2024,71.0,70.9,59.9,25.4,26.3,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Bayelsa,South South,2024,42.8,38.9,15.0,34.6,81.1,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Cross River,South South,2024,80.2,80.2,64.6,51.4,52.0,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Delta,South South,2024,58.2,58.0,40.5,39.5,49.9,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Edo,South South,2024,21.3,21.0,9.0,15.4,45.7,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Rivers,South South,2024,31.6,29.1,14.2,23.8,60.1,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Ekiti,South West,2024,25.8,25.4,14.8,16.1,55.7,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Lagos,South West,2024,32.2,31.9,18.1,19.2,76.5,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Ogun,South West,2024,33.9,33.7,18.3,10.7,36.2,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Ondo,South West,2024,58.4,58.4,41.8,31.5,46.6,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Osun,South West,2024,59.0,59.0,37.4,39.8,54.3,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
Oyo,South West,2024,39.5,39.1,19.4,27.5,67.4,Table 12.1 (ITN ownership) + Table 12.6 (children sleeping under ITN)
